,case:Rfp_id
1363,request for payment 22294
1364,request for payment 22292
1365,request for payment 22316
1366,request for payment 185906
1367,request for payment 38206
1368,request for payment 22335
1369,request for payment 25104
1370,request for payment 70407
1371,request for payment 70409
1372,request for payment 38230
1373,request for payment 28072
1374,request for payment 37237
1375,request for payment 40861
1376,request for payment 54922
1377,request for payment 54924
1378,request for payment 54920
1379,request for payment 15840
1380,request for payment 37408
1381,request for payment 37429
1382,request for payment 38000
1383,request for payment 18445
1384,request for payment 18441
1385,request for payment 18443
1386,request for payment 28100
1387,request for payment 28102
1388,request for payment 28098
1389,request for payment 39597
1390,request for payment 39599
1391,request for payment 40900
1392,request for payment 18481
1393,request for payment 18497
1394,request for payment 28198
1395,request for payment 28196
1396,request for payment 39638
1397,request for payment 22359
1398,request for payment 40942
1399,request for payment 38954
1400,request for payment 55352
1401,request for payment 40991
1402,request for payment 38995
1403,request for payment 186107
1404,request for payment 39713
1405,request for payment 28649
1406,request for payment 28647
1407,request for payment 28645
1408,request for payment 28643
1409,request for payment 41015
1410,request for payment 28722
1411,request for payment 71251
1412,request for payment 71247
1413,request for payment 71249
1414,request for payment 28768
1415,request for payment 28759
1416,request for payment 28764
1417,request for payment 28762
1418,request for payment 28766
1419,request for payment 28770
1420,request for payment 10438
1421,request for payment 71277
1422,request for payment 71279
1423,request for payment 64339
1424,request for payment 64342
1425,request for payment 54186
1426,request for payment 54184
1427,request for payment 186075
1428,request for payment 71315
1429,request for payment 20624
1430,request for payment 64906
1431,request for payment 53544
1432,request for payment 71444
1433,request for payment 71442
1434,request for payment 71440
1435,request for payment 71437
1436,request for payment 61109
1437,request for payment 19009
1438,request for payment 185962
1439,request for payment 185968
1440,request for payment 10540
1441,request for payment 29593
1442,request for payment 185972
1443,request for payment 10589
1444,request for payment 64389
1445,request for payment 53615
1446,request for payment 59580
1447,request for payment 52876
1448,request for payment 52874
1449,request for payment 186081
1450,request for payment 52894
1451,request for payment 68992
1452,request for payment 68991
1453,request for payment 29637
1454,request for payment 64967
1455,request for payment 59621
1456,request for payment 59649
1457,request for payment 61728
1458,request for payment 61744
1459,request for payment 60381
1460,request for payment 61758
1461,request for payment 185880
1462,request for payment 65267
1463,request for payment 61235
1464,request for payment 29698
1465,request for payment 69921
1466,request for payment 69935
1467,request for payment 60423
1468,request for payment 11010
1469,request for payment 52932
1470,request for payment 11043
1471,request for payment 53635
1472,request for payment 11058
1473,request for payment 11060
1474,request for payment 69958
1475,request for payment 65335
1476,request for payment 11096
1477,request for payment 25189
1478,request for payment 185930
1479,request for payment 65368
1480,request for payment 64482
1481,request for payment 64481
1482,request for payment 64484
1483,request for payment 70740
1484,request for payment 70741
1485,request for payment 65386
1486,request for payment 65444
1487,request for payment 65442
1488,request for payment 52969
1489,request for payment 19180
1490,request for payment 60514
1491,request for payment 70804
1492,request for payment 30051
1493,request for payment 185900
1494,request for payment 30083
1495,request for payment 53026
1496,request for payment 53028
1497,request for payment 19236
1498,request for payment 19238
1499,request for payment 61274
1500,request for payment 60595
1501,request for payment 185945
1502,request for payment 53673
1503,request for payment 53701
1504,request for payment 53721
1505,request for payment 30137
1506,request for payment 19256
1507,request for payment 30152
1508,request for payment 20699
1509,request for payment 54321
1510,request for payment 54320
1511,request for payment 61419
1512,request for payment 19563
1513,request for payment 54342
1514,request for payment 54340
1515,request for payment 16093
1516,request for payment 16096
1517,request for payment 16128
1518,request for payment 16126
1519,request for payment 55461
1520,request for payment 55463
1521,request for payment 66168
1522,request for payment 66171
1523,request for payment 61298
1524,request for payment 61317
1525,request for payment 61337
1526,request for payment 62523
1527,request for payment 61499
1528,request for payment 66245
1529,request for payment 66282
1530,request for payment 61517
1531,request for payment 33948
1532,request for payment 56039
1533,request for payment 56037
1534,request for payment 185951
1535,request for payment 30288
1536,request for payment 61536
1537,request for payment 66324
1538,request for payment 63297
1539,request for payment 19643
1540,request for payment 11490
1541,request for payment 11487
1542,request for payment 62556
1543,request for payment 62559
1544,request for payment 56144
1545,request for payment 56139
1546,request for payment 56142
1547,request for payment 56146
1548,request for payment 25809
1549,request for payment 63337
1550,request for payment 11576
1551,request for payment 63372
1552,request for payment 63387
1553,request for payment 66391
1554,request for payment 66407
1555,request for payment 63403
1556,request for payment 71780
1557,request for payment 11616
1558,request for payment 11614
1559,request for payment 11655
1560,request for payment 62572
1561,request for payment 62576
1562,request for payment 62574
1563,request for payment 56236
1564,request for payment 19730
1565,request for payment 56255
1566,request for payment 71806
1567,request for payment 30316
1568,request for payment 56907
1569,request for payment 56905
1570,request for payment 71899
1571,request for payment 63465
1572,request for payment 63480
1573,request for payment 185845
1574,request for payment 66885
1575,request for payment 66882
1576,request for payment 71919
1577,request for payment 66907
1578,request for payment 66917
1579,request for payment 34049
1580,request for payment 71938
1581,request for payment 34088
1582,request for payment 34109
1583,request for payment 25861
1584,request for payment 25858
1585,request for payment 56965
1586,request for payment 185866
1587,request for payment 185978
1588,request for payment 62156
1589,request for payment 62154
1590,request for payment 62152
1591,request for payment 62149
1592,request for payment 62158
1593,request for payment 62186
1594,request for payment 62188
1595,request for payment 62217
1596,request for payment 57011
1597,request for payment 20097
1598,request for payment 20094
1599,request for payment 20117
1600,request for payment 20146
1601,request for payment 185868
1602,request for payment 62674
1603,request for payment 62671
1604,request for payment 62286
1605,request for payment 62281
1606,request for payment 62284
1607,request for payment 34519
1608,request for payment 34517
1609,request for payment 62711
1610,request for payment 64563
1611,request for payment 64566
1612,request for payment 64568
1613,request for payment 64570
1614,request for payment 64572
1615,request for payment 185989
1616,request for payment 59131
1617,request for payment 62318
1618,request for payment 62339
1619,request for payment 62337
1620,request for payment 62363
1621,request for payment 62385
1622,request for payment 20178
1623,request for payment 62403
1624,request for payment 62963
1625,request for payment 62978
1626,request for payment 185886
1627,request for payment 185995
1628,request for payment 64986
1629,request for payment 64988
1630,request for payment 12019
1631,request for payment 67898
1632,request for payment 57100
1633,request for payment 20194
1634,request for payment 20795
1635,request for payment 59187
1636,request for payment 186016
1637,request for payment 186022
1638,request for payment 59206
1639,request for payment 59215
1640,request for payment 59225
1641,request for payment 57891
1642,request for payment 63104
1643,request for payment 63106
1644,request for payment 20242
1645,request for payment 20266
1646,request for payment 20815
1647,request for payment 20817
1648,request for payment 67966
1649,request for payment 67968
1650,request for payment 12286
1651,request for payment 63149
1652,request for payment 59274
1653,request for payment 59305
1654,request for payment 59350
1655,request for payment 185890
1656,request for payment 63168
1657,request for payment 68010
1658,request for payment 20339
1659,request for payment 20337
1660,request for payment 20335
1661,request for payment 20331
1662,request for payment 20333
1663,request for payment 185849
1664,request for payment 12324
1665,request for payment 12343
1666,request for payment 57911
1667,request for payment 59915
1668,request for payment 63533
1669,request for payment 63535
1670,request for payment 63554
1671,request for payment 59940
1672,request for payment 59938
1673,request for payment 59942
1674,request for payment 65059
1675,request for payment 65057
1676,request for payment 63630
1677,request for payment 63662
1678,request for payment 63659
1679,request for payment 63682
1680,request for payment 63680
1681,request for payment 57950
1682,request for payment 65081
1683,request for payment 58005
1684,request for payment 58002
1685,request for payment 185895
1686,request for payment 65189
1687,request for payment 20464
1688,request for payment 60065
1689,request for payment 60094
1690,request for payment 60115
1691,request for payment 12417
1692,request for payment 12436
1693,request for payment 20529
1694,request for payment 20531
1695,request for payment 12476
1696,request for payment 19285
1697,request for payment 19288
1698,request for payment 12735
1699,request for payment 12733
1700,request for payment 12730
1701,request for payment 19316
1702,request for payment 19313
1703,request for payment 19318
1704,request for payment 19320
1705,request for payment 12774
1706,request for payment 20835
1707,request for payment 60928
1708,request for payment 60946
1709,request for payment 25948
1710,request for payment 58046
1711,request for payment 58061
1712,request for payment 61001
1713,request for payment 61026
1714,request for payment 12849
1715,request for payment 61073
1716,request for payment 61075
1717,request for payment 61097
1718,request for payment 186392
1719,request for payment 25966
1720,request for payment 19422
1721,request for payment 19437
1722,request for payment 63231
1723,request for payment 65230
1724,request for payment 25983
1725,request for payment 25981
1726,request for payment 25985
1727,request for payment 68561
1728,request for payment 12943
1729,request for payment 12941
1730,request for payment 63873
1731,request for payment 13003
1732,request for payment 16169
1733,request for payment 65805
1734,request for payment 68546
1735,request for payment 65891
1736,request for payment 65918
1737,request for payment 65933
1738,request for payment 67392
1739,request for payment 57052
1740,request for payment 67423
1741,request for payment 67425
1742,request for payment 67421
1743,request for payment 67419
1744,request for payment 67476
1745,request for payment 67474
1746,request for payment 16904
1747,request for payment 68660
1748,request for payment 186376
1749,request for payment 68756
1750,request for payment 186382
1751,request for payment 186445
1752,request for payment 69546
1753,request for payment 69102
1754,request for payment 16459
1755,request for payment 16483
1756,request for payment 69557
1757,request for payment 16535
1758,request for payment 69594
1759,request for payment 16598
1760,request for payment 69124
1761,request for payment 69172
1762,request for payment 69670
1763,request for payment 16660
1764,request for payment 69229
1765,request for payment 186386
1766,request for payment 69247
1767,request for payment 69268
1768,request for payment 69270
1769,request for payment 70078
1770,request for payment 70076
1771,request for payment 16721
1772,request for payment 16748
1773,request for payment 70135
1774,request for payment 70147
1775,request for payment 186407
1776,request for payment 16855
1777,request for payment 71027
1778,request for payment 186216
1779,request for payment 58896
1780,request for payment 71126
1781,request for payment 71150
1782,request for payment 71182
1783,request for payment 71227
1784,request for payment 10236
1785,request for payment 10234
1786,request for payment 10231
1787,request for payment 35034
1788,request for payment 10305
1789,request for payment 70592
1790,request for payment 10322
1791,request for payment 10319
1792,request for payment 59388
1793,request for payment 58960
1794,request for payment 70612
1795,request for payment 70645
1796,request for payment 70658
1797,request for payment 70707
1798,request for payment 70729
1799,request for payment 71558
1800,request for payment 71578
1801,request for payment 71576
1802,request for payment 71603
1803,request for payment 10392
1804,request for payment 10385
1805,request for payment 10388
1806,request for payment 10390
1807,request for payment 71618
1808,request for payment 71635
1809,request for payment 71650
1810,request for payment 60171
1811,request for payment 59068
1812,request for payment 19976
1813,request for payment 60218
1814,request for payment 60249
1815,request for payment 60348
1816,request for payment 60346
1817,request for payment 60344
1818,request for payment 71737
1819,request for payment 59793
1820,request for payment 186226
1821,request for payment 60688
1822,request for payment 35146
1823,request for payment 20584
1824,request for payment 20960
1825,request for payment 186231
1826,request for payment 10847
1827,request for payment 28814
1828,request for payment 28809
1829,request for payment 28812
1830,request for payment 28816
1831,request for payment 33074
1832,request for payment 33089
1833,request for payment 34816
1834,request for payment 34819
1835,request for payment 186252
1836,request for payment 50429
1837,request for payment 28865
1838,request for payment 55813
1839,request for payment 55811
1840,request for payment 21013
1841,request for payment 17687
1842,request for payment 186456
1843,request for payment 186461
1844,request for payment 186429
1845,request for payment 55071
1846,request for payment 23116
1847,request for payment 55854
1848,request for payment 55856
1849,request for payment 55858
1850,request for payment 55879
1851,request for payment 17748
1852,request for payment 29544
1853,request for payment 48096
1854,request for payment 50554
1855,request for payment 186434
1856,request for payment 48124
1857,request for payment 35442
1858,request for payment 30540
1859,request for payment 52492
1860,request for payment 186424
1861,request for payment 50979
1862,request for payment 50996
1863,request for payment 50994
1864,request for payment 55896
1865,request for payment 53120
1866,request for payment 53144
1867,request for payment 17839
1868,request for payment 35465
1869,request for payment 35467
1870,request for payment 55913
1871,request for payment 55911
1872,request for payment 35512
1873,request for payment 55212
1874,request for payment 11189
1875,request for payment 55943
1876,request for payment 51071
1877,request for payment 52222
1878,request for payment 51154
1879,request for payment 186439
1880,request for payment 55992
1881,request for payment 55994
1882,request for payment 52240
1883,request for payment 52289
1884,request for payment 52287
1885,request for payment 186450
1886,request for payment 34364
1887,request for payment 186266
1888,request for payment 30396
1889,request for payment 53212
1890,request for payment 53214
1891,request for payment 11203
1892,request for payment 11206
1893,request for payment 51750
1894,request for payment 30419
1895,request for payment 53271
1896,request for payment 52359
1897,request for payment 55739
1898,request for payment 13249
1899,request for payment 186494
1900,request for payment 186499
1901,request for payment 27213
1902,request for payment 27216
1903,request for payment 27258
1904,request for payment 57756
1905,request for payment 57758
1906,request for payment 58252
1907,request for payment 58253
1908,request for payment 186301
1909,request for payment 58298
1910,request for payment 58296
1911,request for payment 58335
1912,request for payment 186322
1913,request for payment 57493
1914,request for payment 57531
1915,request for payment 57547
1916,request for payment 33629
1917,request for payment 33626
1918,request for payment 57570
1919,request for payment 186466
1920,request for payment 34172
1921,request for payment 48206
1922,request for payment 48209
1923,request for payment 48251
1924,request for payment 57639
1925,request for payment 57636
1926,request for payment 48315
1927,request for payment 58373
1928,request for payment 58375
1929,request for payment 49048
1930,request for payment 49080
1931,request for payment 186113
1932,request for payment 49095
1933,request for payment 57866
1934,request for payment 49202
1935,request for payment 49204
1936,request for payment 186418
1937,request for payment 186470
1938,request for payment 27798
1939,request for payment 186254
1940,request for payment 49261
1941,request for payment 49941
1942,request for payment 49939
1943,request for payment 18272
1944,request for payment 186259
1945,request for payment 186277
1946,request for payment 58601
1947,request for payment 58603
1948,request for payment 58605
1949,request for payment 186282
1950,request for payment 34330
1951,request for payment 27872
1952,request for payment 18283
1953,request for payment 186488
1954,request for payment 58641
1955,request for payment 186286
1956,request for payment 29236
1957,request for payment 58659
1958,request for payment 58478
1959,request for payment 186515
1960,request for payment 186190
1961,request for payment 186141
1962,request for payment 58516
1963,request for payment 58541
1964,request for payment 58718
1965,request for payment 58717
1966,request for payment 58716
1967,request for payment 58553
1968,request for payment 50720
1969,request for payment 186146
1970,request for payment 18332
1971,request for payment 186150
1972,request for payment 186504
1973,request for payment 186156
1974,request for payment 35218
1975,request for payment 186510
1976,request for payment 13604
1977,request for payment 13601
1978,request for payment 13368
1979,request for payment 58807
1980,request for payment 58805
1981,request for payment 186221
1982,request for payment 186540
1983,request for payment 186545
1984,request for payment 35230
1985,request for payment 186550
1986,request for payment 13671
1987,request for payment 35264
1988,request for payment 29299
1989,request for payment 47726
1990,request for payment 47724
1991,request for payment 51429
1992,request for payment 35281
1993,request for payment 186195
1994,request for payment 186176
1995,request for payment 186524
1996,request for payment 186555
1997,request for payment 47804
1998,request for payment 13400
1999,request for payment 51548
2000,request for payment 51566
2001,request for payment 186520
2002,request for payment 186181
2003,request for payment 51582
2004,request for payment 26754
2005,request for payment 26751
2006,request for payment 47657
2007,request for payment 47678
2008,request for payment 14128
2009,request for payment 47694
2010,request for payment 47689
2011,request for payment 47692
2012,request for payment 48461
2013,request for payment 24355
2014,request for payment 48546
2015,request for payment 186576
2016,request for payment 186477
2017,request for payment 26499
2018,request for payment 186186
2019,request for payment 186580
2020,request for payment 28534
2021,request for payment 186200
2022,request for payment 18910
2023,request for payment 11741
2024,request for payment 11743
2025,request for payment 26796
2026,request for payment 186206
2027,request for payment 186529
2028,request for payment 48583
2029,request for payment 48594
2030,request for payment 26556
2031,request for payment 186397
2032,request for payment 186482
2033,request for payment 186130
2034,request for payment 186534
2035,request for payment 30623
2036,request for payment 30641
2037,request for payment 50272
2038,request for payment 50305
2039,request for payment 186402
2040,request for payment 186210
2041,request for payment 186136
2042,request for payment 48622
2043,request for payment 186306
2044,request for payment 186236
2045,request for payment 24397
2046,request for payment 18971
2047,request for payment 186312
2048,request for payment 186317
2049,request for payment 186241
2050,request for payment 28553
2051,request for payment 48748
2052,request for payment 186247
2053,request for payment 11908
2054,request for payment 50887
2055,request for payment 186412
2056,request for payment 49449
2057,request for payment 49447
2058,request for payment 186606
2059,request for payment 186272
2060,request for payment 49561
2061,request for payment 49581
2062,request for payment 23161
2063,request for payment 11373
2064,request for payment 12204
2065,request for payment 23793
2066,request for payment 12216
2067,request for payment 186331
2068,request for payment 13441
2069,request for payment 186291
2070,request for payment 186160
2071,request for payment 186296
2072,request for payment 186339
2073,request for payment 25033
2074,request for payment 186570
2075,request for payment 186561
2076,request for payment 23854
2077,request for payment 186166
2078,request for payment 186120
2079,request for payment 186565
2080,request for payment 186125
2081,request for payment 186171
2082,request for payment 12587
2083,request for payment 13213
2084,request for payment 13229
2085,request for payment 186589
2086,request for payment 186595
2087,request for payment 186601
2088,request for payment 186345
2089,request for payment 186350
2090,request for payment 186361
2091,request for payment 186366
2092,request for payment 186371
2093,request for payment 186355
2094,request for payment 186623
2095,request for payment 13067
2096,request for payment 186629
2097,request for payment 186617
2098,request for payment 186612
